source,id,id_raw,tier_raw,tier,seq,title,description
cis_csc_v7.1,cis_csc_v7.1:1,1,Control,0,1,Inventory and Control of Hardware Assets,"Actively manage (inventory, track, and correct) all hardware devices on the network so that only authorized devices are given access, and unauthorized and unmanaged devices are found and prevented from gaining access."
cis_csc_v7.1,cis_csc_v7.1:1.1,1.1,Sub-Control,1,1,Utilize an Active Discovery Tool,Utilize an active discovery tool to identify devices connected to the organization's network and update the hardware asset inventory.
cis_csc_v7.1,cis_csc_v7.1:1.2,1.2,Sub-Control,1,2,Use a Passive Asset Discovery Tool,Utilize a passive discovery tool to identify devices connected to the organization's network and automatically update the organization's hardware asset inventory.
cis_csc_v7.1,cis_csc_v7.1:1.3,1.3,Sub-Control,1,3,Use DHCP Logging to Update Asset Inventory,Use Dynamic Host Configuration Protocol (DHCP) logging on all DHCP servers or IP address management tools to update the organization's hardware asset inventory.
cis_csc_v7.1,cis_csc_v7.1:1.4,1.4,Sub-Control,1,4,Maintain Detailed Asset Inventory,"Maintain an accurate and up-to-date inventory of all technology assets with the potential to store or process information. This inventory shall include all hardware assets, whether connected to the organization's network or not."
cis_csc_v7.1,cis_csc_v7.1:1.5,1.5,Sub-Control,1,5,Maintain Asset Inventory Information,"Ensure that the hardware asset inventory records the network address, hardware address, machine name, data asset owner, and department for each asset and whether the hardware asset has been approved to connect to the network."
cis_csc_v7.1,cis_csc_v7.1:1.6,1.6,Sub-Control,1,6,Address Unauthorized Assets,"Ensure that unauthorized assets are either removed from the network, quarantined, or the inventory is updated in a timely manner."
cis_csc_v7.1,cis_csc_v7.1:1.7,1.7,Sub-Control,1,7,Deploy Port Level Access Control,"Utilize port level access control, following 802.1x standards, to control which devices can authenticate to the network. The authentication system shall be tied into the hardware asset inventory data to ensure only authorized devices can connect to the network."
cis_csc_v7.1,cis_csc_v7.1:1.8,1.8,Sub-Control,1,8,Utilize Client Certificates to Authenticate Hardware Assets,Use client certificates to authenticate hardware assets connecting to the organization's trusted network.
cis_csc_v7.1,cis_csc_v7.1:10,10,Control,0,10,Data Recovery Capabilities,The processes and tools used to properly back up critical information with a proven methodology for timely recovery of it.
cis_csc_v7.1,cis_csc_v7.1:10.1,10.1,Sub-Control,1,71,Ensure Regular Automated BackUps,Ensure that all system data is automatically backed up on a regular basis.
cis_csc_v7.1,cis_csc_v7.1:10.2,10.2,Sub-Control,1,72,Perform Complete System Backups,"Ensure that all of the organization's key systems are backed up as a complete system, through processes such as imaging, to enable the quick recovery of an entire system."
cis_csc_v7.1,cis_csc_v7.1:10.3,10.3,Sub-Control,1,73,Test Data on Backup Media,Test data integrity on backup media on a regular basis by performing a data restoration process to ensure that the backup is properly working.
cis_csc_v7.1,cis_csc_v7.1:10.4,10.4,Sub-Control,1,74,Protect Backups,"Ensure that backups are properly protected via physical security or encryption when they are stored, as well as when they are moved across the network. This includes remote backups and cloud services."
cis_csc_v7.1,cis_csc_v7.1:10.5,10.5,Sub-Control,1,75,Ensure All Backups Have at Least One Offline Backup Destination,"Ensure that all backups have at least one offline (i.e., not accessible via a network connection) backup destination."
cis_csc_v7.1,cis_csc_v7.1:11,11,Control,0,11,"Secure Configuration for Network Devices, such as Firewalls, Routers and Switches","Establish, implement, and actively manage (track, report on, correct) the security configuration of network infrastructure devices using a rigorous configuration management and change control process in order to prevent attackers from exploiting vulnerable services and settings."
cis_csc_v7.1,cis_csc_v7.1:11.1,11.1,Sub-Control,1,76,Maintain Standard Security Configurations for Network Devices,Maintain documented security configuration standards for all authorized network devices.
cis_csc_v7.1,cis_csc_v7.1:11.2,11.2,Sub-Control,1,77,Document Traffic Configuration Rules,"All configuration rules that allow traffic to flow through network devices should be documented in a configuration management system with a specific business reason for each rule, a specific individual’s name responsible for that business need, and an expected duration of the need."
cis_csc_v7.1,cis_csc_v7.1:11.3,11.3,Sub-Control,1,78,Use Automated Tools to Verify Standard Device Configurations and Detect Changes,"Compare all network device configuration against approved security configurations defined for each network device in use, and alert when any deviations are discovered."
cis_csc_v7.1,cis_csc_v7.1:11.4,11.4,Sub-Control,1,79,Install the Latest Stable Version of Any Security-Related Updates on All Network Devices,Install the latest stable version of any security-related updates on all network devices.
cis_csc_v7.1,cis_csc_v7.1:11.5,11.5,Sub-Control,1,80,Manage Network Devices Using Multi-Factor Authentication and Encrypted Sessions,Manage all network devices using multi-factor authentication and encrypted sessions.
cis_csc_v7.1,cis_csc_v7.1:11.6,11.6,Sub-Control,1,81,Use Dedicated Machines For All Network Administrative Tasks,"Ensure network engineers use a dedicated machine for all administrative tasks or tasks requiring elevated access. This machine shall be segmented from the organization's primary network and not be allowed Internet access. This machine shall not be used for reading email, composing documents, or surfing the Internet."
cis_csc_v7.1,cis_csc_v7.1:11.7,11.7,Sub-Control,1,82,Manage Network Infrastructure Through a Dedicated Network,"Manage the network infrastructure across network connections that are separated from the business use of that network, relying on separate VLANs or, preferably, on entirely different physical connectivity for management sessions for network devices."
cis_csc_v7.1,cis_csc_v7.1:12,12,Control,0,12,Boundary Defense,Detect/prevent/correct the flow of information transferring networks of different trust levels with a focus on security-damaging data.
cis_csc_v7.1,cis_csc_v7.1:12.1,12.1,Sub-Control,1,83,Maintain an Inventory of Network Boundaries,Maintain an up-to-date inventory of all of the organization's network boundaries.
cis_csc_v7.1,cis_csc_v7.1:12.10,12.1,Sub-Control,1,84,Decrypt Network Traffic at Proxy,"Decrypt all encrypted network traffic at the boundary proxy prior to analyzing the content. However, the organization may use whitelists of allowed sites that can be accessed through the proxy without decrypting the traffic."
cis_csc_v7.1,cis_csc_v7.1:12.11,12.11,Sub-Control,1,85,Require All Remote Login to Use Multi-Factor Authentication,Require all remote login access to the organization's network to encrypt data in transit and use multi-factor authentication.
cis_csc_v7.1,cis_csc_v7.1:12.12,12.12,Sub-Control,1,86,Manage All Devices Remotely Logging into Internal Network,Scan all enterprise devices remotely logging into the organization's network prior to accessing the network to ensure that each of the organization's security policies has been enforced in the same manner as local network devices.
cis_csc_v7.1,cis_csc_v7.1:12.2,12.2,Sub-Control,1,87,Scan for Unauthorized Connections Across Trusted Network Boundaries,Perform regular scans from outside each trusted network boundary to detect any unauthorized connections which are accessible across the boundary.
cis_csc_v7.1,cis_csc_v7.1:12.3,12.3,Sub-Control,1,88,Deny Communications With Known Malicious IP Addresses,"Deny communications with known malicious or unused Internet IP addresses and limit access only to trusted and necessary IP address ranges at each of the organization's network boundaries,."
cis_csc_v7.1,cis_csc_v7.1:12.4,12.4,Sub-Control,1,89,Deny Communication Over Unauthorized Ports,Deny communication over unauthorized TCP or UDP ports or application traffic to ensure that only authorized protocols are allowed to cross the network boundary in or out of the network at each of the organization's network boundaries.
cis_csc_v7.1,cis_csc_v7.1:12.5,12.5,Sub-Control,1,90,Configure Monitoring Systems to Record Network Packets,Configure monitoring systems to record network packets passing through the boundary at each of the organization's network boundaries.
cis_csc_v7.1,cis_csc_v7.1:12.6,12.6,Sub-Control,1,91,Deploy Network-Based IDS Sensors,Deploy network-based Intrusion Detection Systems (IDS) sensors to look for unusual attack mechanisms and detect compromise of these systems at each of the organization's network boundaries.
cis_csc_v7.1,cis_csc_v7.1:12.7,12.7,Sub-Control,1,92,Deploy Network-Based Intrusion Prevention Systems,Deploy network-based Intrusion Prevention Systems (IPS) to block malicious network traffic at each of the organization's network boundaries.
cis_csc_v7.1,cis_csc_v7.1:12.8,12.8,Sub-Control,1,93,Deploy NetFlow Collection on Networking Boundary Devices,Enable the collection of NetFlow and logging data on all network boundary devices.
cis_csc_v7.1,cis_csc_v7.1:12.9,12.9,Sub-Control,1,94,Deploy Application Layer Filtering Proxy Server,Ensure that all network traffic to or from the Internet passes through an authenticated application layer proxy that is configured to filter unauthorized connections.
cis_csc_v7.1,cis_csc_v7.1:13,13,Control,0,13,Data Protection,"The processes and tools used to prevent data exfiltration, mitigate the effects of exfiltrated data, and ensure the privacy and integrity of sensitive information."
cis_csc_v7.1,cis_csc_v7.1:13.1,13.1,Sub-Control,1,95,Maintain an Inventory of Sensitive Information,"Maintain an inventory of all sensitive information stored, processed, or transmitted by the organization's technology systems, including those located on-site or at a remote service provider."
cis_csc_v7.1,cis_csc_v7.1:13.2,13.2,Sub-Control,1,96,Remove Sensitive Data or Systems Not Regularly Accessed by Organization,Remove sensitive data or systems not regularly accessed by the organization from the network. These systems shall only be used as stand-alone systems (disconnected from the network) by the business unit needing to occasionally use the system or completely virtualized and powered off until needed.
cis_csc_v7.1,cis_csc_v7.1:13.3,13.3,Sub-Control,1,97,Monitor and Block Unauthorized Network Traffic,Deploy an automated tool on network perimeters that monitors for unauthorized transfer of sensitive information and blocks such transfers while alerting information security professionals.
cis_csc_v7.1,cis_csc_v7.1:13.4,13.4,Sub-Control,1,98,Only Allow Access to Authorized Cloud Storage or Email Providers,Only allow access to authorized cloud storage or email providers.
cis_csc_v7.1,cis_csc_v7.1:13.5,13.5,Sub-Control,1,99,Monitor and Detect Any Unauthorized Use of Encryption,Monitor all traffic leaving the organization and detect any unauthorized use of encryption.
cis_csc_v7.1,cis_csc_v7.1:13.6,13.6,Sub-Control,1,100,Encrypt Mobile Device Data,Utilize approved cryptographic mechanisms to protect enterprise data stored on all mobile devices.
cis_csc_v7.1,cis_csc_v7.1:13.7,13.7,Sub-Control,1,101,Manage USB Devices,"If USB storage devices are required, enterprise software should be used that can configure systems to allow the use of specific devices. An inventory of such devices should be maintained."
cis_csc_v7.1,cis_csc_v7.1:13.8,13.8,Sub-Control,1,102,Manage System's External Removable Media's Read/Write Configurations,"Configure systems not to write data to external removable media, if there is no business need for supporting such devices."
cis_csc_v7.1,cis_csc_v7.1:13.9,13.9,Sub-Control,1,103,Encrypt Data on USB Storage Devices,"If USB storage devices are required, all data stored on such devices must be encrypted while at rest."
cis_csc_v7.1,cis_csc_v7.1:14,14,Control,0,14,Controlled Access Based on the Need to Know,"The processes and tools used to track/control/prevent/correct secure access to critical assets (e.g., information, resources, systems) according to the formal determination of which persons, computers, and applications have a need and right to access these critical assets based on an approved classification."
cis_csc_v7.1,cis_csc_v7.1:14.1,14.1,Sub-Control,1,104,Segment the Network Based on Sensitivity,"Segment the network based on the label or classification level of the information stored on the servers, locate all sensitive information on separated Virtual Local Area Networks (VLANs)."
cis_csc_v7.1,cis_csc_v7.1:14.2,14.2,Sub-Control,1,105,Enable Firewall Filtering Between VLANs,Enable firewall filtering between VLANs to ensure that only authorized systems are able to communicate with other systems necessary to fulfill their specific responsibilities.
cis_csc_v7.1,cis_csc_v7.1:14.3,14.3,Sub-Control,1,106,Disable Workstation to Workstation Communication,"Disable all workstation-to-workstation communication to limit an attacker's ability to move laterally and compromise neighboring systems, through technologies such as Private VLANs or micro segmentation."
cis_csc_v7.1,cis_csc_v7.1:14.4,14.4,Sub-Control,1,107,Encrypt All Sensitive Information in Transit,Encrypt all sensitive information in transit.
cis_csc_v7.1,cis_csc_v7.1:14.5,14.5,Sub-Control,1,108,Utilize an Active Discovery Tool to Identify Sensitive Data,"Utilize an active discovery tool to identify all sensitive information stored, processed, or transmitted by the organization's technology systems, including those located on-site or at a remote service provider, and update the organization's sensitive information inventory."
cis_csc_v7.1,cis_csc_v7.1:14.6,14.6,Sub-Control,1,109,Protect Information Through Access Control Lists,"Protect all information stored on systems with file system, network share, claims, application, or database specific access control lists. These controls will enforce the principle that only authorized individuals should have access to the information based on their need to access the information as a part of their responsibilities."
cis_csc_v7.1,cis_csc_v7.1:14.7,14.7,Sub-Control,1,110,Enforce Access Control to Data Through Automated Tools,"Use an automated tool, such as host-based Data Loss Prevention, to enforce access controls to data even when data is copied off a system."
cis_csc_v7.1,cis_csc_v7.1:14.8,14.8,Sub-Control,1,111,Encrypt Sensitive Information at Rest,"Encrypt all sensitive information at rest using a tool that requires a secondary authentication mechanism not integrated into the operating system, in order to access the information."
cis_csc_v7.1,cis_csc_v7.1:14.9,14.9,Sub-Control,1,112,Enforce Detail Logging for Access or Changes to Sensitive Data,Enforce detailed audit logging for access to sensitive data or changes to sensitive data (utilizing tools such as File Integrity Monitoring or Security Information and Event Monitoring).
cis_csc_v7.1,cis_csc_v7.1:15,15,Control,0,15,Wireless Access Control,"The processes and tools used to track/control/prevent/correct the security use of wireless local area networks (WLANs), access points, and wireless client systems."
